       1       0    1112    8.0000   10   61    4   57
     2    0.883   -0.041     -0.277  0.006     2.20    -4.08    -0.03     0.09
    -2    1.135    0.358     -0.152  0.006     3.34    -3.94    -0.34     1.29
     2    0.337    0.227     -0.092  0.006     0.50    -1.24    -0.52     1.35
     2    0.023   -0.215      0.350  0.006    -0.52    -1.79     0.91     1.37
     2   -0.329    1.041      0.329  0.006    -0.60    -1.13     0.18     1.18
     3    0.898    0.992      0.142  0.199     1.21     3.38     0.01     0.10
     1    0.283    0.443      0.117  0.010     1.21     3.38     0.01     0.10
     2   -0.246    0.166      0.299  0.006     1.03     3.11     0.11     0.53
     2    0.053   -0.029      0.170  0.006     0.42     1.92    -0.34     1.57
    -3   -0.686   -0.389     -0.389  0.199    -1.09     2.23    -0.69     2.18
     2    0.176   -0.955      1.618  0.006     1.20    -2.75     1.06     1.77
     2   -0.084   -0.268      0.086  0.006     0.55    -1.33     0.44     0.96
     1    0.207    0.246      0.045  0.010     2.34     1.35     1.55     4.27
     1   -0.102   -0.686      0.248  0.010    -2.48    -2.88     0.00     0.11
     1   -0.277   -0.016      0.286  0.010    -2.86    -0.61     0.88     2.91
     1    0.026   -0.660     -0.431  0.010    -2.48    -2.88     0.00     0.11
     1   -0.887   -0.321      0.024  0.010    -1.55    -0.66     0.69     2.06
    -3   -0.740    0.364      0.080  0.199     0.20    -0.66     0.02     0.12
     1    0.846    0.201     -0.159  0.010     2.28    -3.46    -0.01     0.12
     1    0.233    0.141      0.065  0.010     2.28    -3.16    -0.05     0.54
     2    0.518   -0.277     -0.086  0.006     3.26    -3.92    -0.37     1.29
     2   -0.022   -0.127      0.358  0.006     0.75    -3.11     0.14     0.26
     1    0.059   -0.310     -0.047  0.010     0.97    -7.08    -0.28     4.02
     2    0.173   -0.843      0.986  0.006     0.75    -3.19     0.14     0.23
     1    0.087    0.361      0.114  0.010     1.42    -1.26     1.88     3.54
     1   -0.007    0.267      1.223  0.010     2.17    -3.67     0.77     0.92
     2    0.369    0.155      0.010  0.006     2.13    -4.00     0.05     0.12
     2   -0.077   -0.209      0.020  0.006    -0.54     0.94    -0.42     0.89
     1    0.462   -0.015      0.013  0.010     6.72     0.36     1.14     7.39
     2    0.481   -0.035      0.002  0.006     0.08     0.78     0.12     0.49
     1    0.586    0.072      0.539  0.010     1.33    -2.41     0.46     0.78
     1   -0.123   -0.075     -0.207  0.010     0.90    -1.54    -0.35     1.28
     2    0.027   -0.024     -0.147  0.006     0.40    -3.86     1.17     3.19
     2   -0.131    0.084     -0.195  0.006    -0.49    -2.87    -0.66     2.49
    -2   -0.364    0.080      0.221  0.006    -2.61    -0.49     0.91     3.09
     2    1.101   -0.913     -0.308  0.006     3.63    -2.16    -0.03     0.13
    -1    0.090   -0.131     -0.046  0.010     3.63    -2.16    -0.03     0.13
    -1    0.170    0.113     -0.298  0.010     0.57     1.09    -0.01     0.13
    -1   -0.095   -0.171      0.019  0.010     0.52     1.38     0.83     1.40
    -2    0.195    0.045     -0.265  0.006     0.91     1.37     0.10     0.63
     2   -0.030   -0.037      0.082  0.006     2.88    -0.87     2.63     3.82
    -2   -1.203    0.181      0.771  0.006     0.21    -1.31     0.82     1.34
     2   -0.174   -0.072     -0.214  0.006     0.20     1.86    -0.64     1.07
    -3   -0.840   -0.900     -0.319  0.199    -0.64     1.18     0.07     0.93
    -3   -0.294   -1.069      0.544  0.199     1.14    -2.54     0.12     0.40
     1   -0.127   -0.318      0.637  0.010     0.44    -0.39     1.61     3.15
     1   -0.145    0.966      2.271  0.010     1.35     2.12     8.82     9.49
     2   -0.417   -0.705      0.265  0.006     2.84    -1.55     1.45     3.71
     2    0.116    0.072     -0.037  0.006     3.87     0.80    -0.06     0.86
     1   -1.162    0.162      0.646  0.010    -5.95    -1.42     1.64     3.41
    -2   -0.369    0.501      0.423  0.006    -3.09    -1.67     0.07     0.14
     1   -0.074   -0.050      0.027  0.010     0.25     1.45     0.05     3.13
     1    0.100   -0.305     -0.094  0.010     0.29     1.60    -1.03     1.76
     2    0.284    0.109      0.282  0.006     0.18     2.71     0.43     0.92
    -1   -0.013    0.421     -0.015  0.010     0.49     1.85     1.13     6.00
    -3    0.145    0.112      0.243  0.199     2.64    -1.47     1.29     3.71
    -2   -0.650    0.241      0.952  0.006     1.58    -3.39     0.69     1.06
    -1    0.188   -0.099     -0.160  0.010     1.29    -2.41    -1.24     2.20
     1    0.494    0.146     -0.348  0.010     1.55    -0.57    -0.51     1.67
     1    0.252   -0.226      0.514  0.010     2.49     3.18     3.45     4.73
     1    0.257   -0.158     -0.150  0.010     1.49     4.31     0.01     0.14
     1   -0.512    0.031     -0.109  0.010     1.49     4.31     0.01     0.14
     2    0.183    0.193     -0.094  0.006     1.45    -0.88     0.14     3.14
    -1   -0.178    0.463     -0.030  0.010    -0.44     0.53     0.89     4.10
    -1   -0.080   -0.099     -0.397  0.010    -0.75    -2.11   -10.85    11.73
     2   -1.361    0.211     -0.887  0.006    -1.72     0.74    -1.58     2.44
    -1    0.101    0.053      0.359  0.010    -0.30     1.80     3.07     3.22
     2   -0.042   -0.319      0.554  0.006    -0.18     0.24     0.28     1.65
     1   -0.142    0.037      0.121  0.010    -1.64     0.67    -0.73     1.74
     1   -0.013   -0.039      0.167  0.010    -3.38     1.67     5.00     5.79
     2    0.033    0.018      0.041  0.006    -0.62     0.73    -4.08     5.16
    -2   -1.032   -0.617     -1.072  0.006    -2.36     1.25    -0.88     1.48
     2    0.190    0.037      0.100  0.006    -0.44     2.51    -0.27     5.27
    -1   -0.394    0.114     -0.062  0.010    -3.63    -3.29    -0.01     0.15
    -1    0.034    0.127      0.081  0.010    -2.85    -3.19    -0.37     1.02
    -1   -0.102   -0.370      0.153  0.010    -3.63    -3.29    -0.01     0.15
     3   -0.167    0.256      0.127  0.199     1.13    -0.84     0.30     3.01
     2    1.003    0.308      0.209  0.006     4.00     1.65     0.80     3.63
     1   -0.117   -0.025      0.048  0.010     1.75    -2.05    -2.97     3.98
     2    0.917    0.377     -0.777  0.006     1.80     2.02    -1.08     1.69
    -1    0.453    0.640     -0.977  0.010     0.71     1.56    -0.11     0.15
    -1    0.466   -1.010     -0.966  0.010     3.31    -2.71    -1.15     2.26
     3   -0.002    0.438      0.357  0.199     3.45     0.62     2.63     4.10
     3    0.076   -0.045     -0.136  0.199     2.57     1.49     0.04     3.42
    -3   -0.761    0.225      0.779  0.199    -1.62     3.11     1.43     3.11
     1   -0.706    0.470      0.800  0.010     2.20    -2.18     0.69     1.01
     2   -0.134   -0.360      0.183  0.006     1.96    -2.71     1.98     2.56
     1    0.143   -0.056      0.698  0.010     2.74    -2.04     0.93     0.98
    -2    0.463    0.035      0.891  0.006     1.06     2.06     0.90     1.88
     1   -0.025   -0.777     -0.023  0.010     0.74    -0.47     1.22     3.69
     2    0.115    0.203     -0.337  0.006    -1.08     3.17    -0.01     0.16
    -3   -0.177    0.742      0.294  0.199    -1.08     3.17    -0.01     0.16
